epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8021,0.49466,1.44405,1.9456,1.03802,0.87616,0.69874,0.85542,0.53094,0.87306,0.69627,0.84347,0.5795,0.83849,2.23743,2.76992,1.39487,0.00058,0.00058,0.00058
2,20.4978,0.59538,1.16023,1.01333,1.08803,0.08753,0.0963,0.04119,0.01351,0.11281,0.02222,0.01906,0.00513,1.96355,15.0709,3.43704,2.78308,0.00117416,0.00117416,0.00117416
3,30.14,0.71581,1.37077,0.96934,1.17076,0.2719,0.32099,0.27462,0.12079,0.35191,0.28395,0.25385,0.12014,1.57685,6.11294,2.49917,3.20981,0.00176238,0.00176238,0.00176238
4,39.5487,0.76013,1.50086,0.87587,1.19327,0.02612,0.05679,0.01133,0.00265,4e-05,0.00247,2e-05,0,3.30586,41.5466,3.83617,11.1119,0.0019703,0.0019703,0.0019703
5,49.0071,0.78084,1.446,0.8144,1.2133,0.23857,0.37037,0.20671,0.06833,0.19453,0.25432,0.14358,0.05544,2.35627,11.545,3.38391,4.90723,0.0019604,0.0019604,0.0019604
6,58.4901,0.71596,1.3897,0.72752,1.17266,0.44126,0.55802,0.38882,0.1605,0.30068,0.38025,0.21688,0.07452,1.89947,20.793,2.69281,3.1019,0.0019505,0.0019505,0.0019505
7,67.9402,0.69096,1.35073,0.67868,1.15689,0.76846,0.82716,0.84757,0.5546,0.74103,0.80247,0.81483,0.48601,1.11824,2.55753,1.57185,1.78675,0.0019406,0.0019406,0.0019406
8,77.4041,0.70532,1.36117,0.67651,1.1631,0.78894,0.87407,0.89021,0.58999,0.80752,0.86173,0.87801,0.55868,1.06691,2.02613,1.14905,1.72949,0.0019307,0.0019307,0.0019307
9,86.8588,0.66798,1.2824,0.62251,1.13639,0.77785,0.80494,0.80813,0.51388,0.72669,0.75802,0.7275,0.38932,1.17417,3.28763,1.24768,1.9818,0.0019208,0.0019208,0.0019208
10,96.3596,0.63158,1.24029,0.59132,1.11546,0.72927,0.81145,0.82477,0.54123,0.7566,0.79056,0.80672,0.49689,1.10981,2.35021,2.56177,1.78615,0.0019109,0.0019109,0.0019109
